response_id	general_frequency
R_202sfhbxfEwDsEV	Very Low
R_3kBPKtkLfMFdp7R	Low
R_1rrxPxsFGkflPpx	Low
R_12bhBKmNyRkrtgz	Moderate
R_8pOKqiOkWWJ7MMF	Low
R_DuXE6py2mbqw7qV	Low
R_1cZWGJtCZKD1ew4	Very Low
R_2Qy5UUJfVHXoWZV	Low
R_3dMrKvR94hccB6c	Low
R_25AfsUG4wphIkYO	Low
R_3HOJBmqA8Qj5Vik	Low
R_RLJj4PkFNDEdYit	Very Low
R_xa49SUkv3DKQme5	Low
R_1Fsku9bfzuOnHlW	Low
R_31cTpd46NEwANvI	Very Low
R_2AF6qvxadkDoTSW	High
R_XQWU5837JcirPJD	High
R_beZArZ7io7gtZKh	Low
R_T4VDquP5brp47AZ	Very Low
R_1ODLj4FHdxhK3G1	Low
R_31oXJfKSNMz4pNg	Low
R_1o7utbGjr0CiW5p	Very Low
R_2YSaYiPeTrGttp8	Moderate
R_0Jku2nGizREQbhn	Very Low
R_2TzanZPigM2xVuV	Very Low
R_2at1V67diUQvkc1	Low
R_1QJxQZXirFtXONG	Moderate
R_b7t6V0jFlrRqXzr	Low
R_3qr2ZreTjyLiVlU	Low
R_3ej0du4jNp47nCF	Low
R_cI8mWxOvlaSvaSZ	Very Low
R_2wBKpgElsyjBV0b	Low
R_zdpFVud5GMDjVUl	Very Low
R_RxBYZwBUfiAACBP	Low
R_sKV54jfDQ68Jx05	Very Low
R_1g0dAm4HvOZLwXc	Very Low
R_RgJqa1XTk8Aexax	Low
R_3sb7E8EQLjHDtj6	Very Low
R_1IWT6B2ocVRIEy7	Very Low
R_30oeLXyDGAJEwhS	Moderate
R_3KJ9fDQ34vAsAxJ	Very Low
R_339JiVn0BrXV8jw	Very Low
R_2V85hhvhCukcKS9	Low
R_3s7iyh922xBWmba	Low
R_1M4JynyqFgfbEGn	Very Low
R_2xYjxG2sdLotM8Q	Low
R_Q6a2dBgrDtQZrcl	Low
R_23eJfXyDulGeJUx	Low
R_OBy6N3n9kcEUbmx	Low
R_2afAwJhFERuWpcR	Very Low
R_25RcV6aMECnyYyF	Low
R_1C7oJP4CkRa3cdP	Low
R_yD8d1A59bQGBOut	Moderate
R_R4b2NHauEWrdgcN	Very Low
R_2vZVaf4kmem95MD	Low
R_1ojdoHkyRAEhaO9	Moderate
R_1FzFMxxfXX2SLGw	Low
R_1kTbPJmOD0m8h6r	Very Low
R_qITgjpy8nUlimv7	Low
R_2ONZImZtC8mhCrA	Low
R_2agYT2RkPZaarIL	Very Low
R_33lN4aBOD0tfqwg	Very Low
R_2RVBEeR4DZhBco5	Very Low
R_2aQPnJKQNgJw2Ob	High
R_1QLOiVySy2bKLTZ	Low
R_2XhPhn1YeASQHAr	Moderate
R_pscJ1L4obDNvx3H	Very Low
R_2YQViBTzxB4Z58d	Low
R_3G7c4213rSP4bPF	Low
R_XiYRBKDZ1f0f0wV	Moderate
R_1LXOUF7PqQkhz6o	Low
R_3lrEYOs4D0F0s0k	Low
R_3PbElbVvAPqPtkC	Low
R_1mKI2PUxRHLULTJ	Moderate
R_3RlLuQSE5pu1tb0	Low
R_2doLrFMsPU9gioB	Low
R_uwilEnZKlzMWNLH	High
R_1lhqYV1QwEPPpZy	Low
R_1dyHBENaRUWZjBd	Moderate
R_2VmXtXlfGpTVyxw	Very Low
R_XYUxOqaUOdv9F97	Low
R_1KoS03TB4Dmwx8K	Very Low
R_2xEjkBHMLVAdlpz	Low
R_OcBfzKXUA2Vg1mV	Low
R_2Wxs9NL5pTh2Ko0	Low
R_eYdELbJBuvjhdyF	Low
R_2EEnIEQa9QlsXtt	Very Low
R_1IH7qhVEGwzF6pZ	Low
R_YRpTUYsPnCHJ2U1	Moderate
R_1FwvnH84InncNXX	Low
R_26mVWrTn2jxXvOy	Low
R_ZyPIaTnZlEqj2PT	Very Low
R_3EupOPAfblnLBPk	Low
R_1IlTZYBSAO0Dcuy	Low
R_2Yrmw7uMu8U6eEA	Low
R_2VpQNBQ0y3Xk4v1	Low
R_1qgGU0J3OX0g6t9	Very Low
R_2EGYmDTj3LV7rUU	Very Low
R_33qjViTvNv9H48m	Moderate
R_3lKPtjrvge3kjlW	Very Low
R_3ssjvVtm5kqPBor	Low
R_3gTq4TA8Trl2ZHf	Low
R_DSGTNrt5b3NfEyd	Low
R_2czHmrjciqTkBt0	Low
R_1NDGa4iJhjM1zX9	Moderate
R_OHDG36aZkVyuXAJ	Low
R_3fjxxi7YlurfKXO	Very Low
R_pDGuvxLRGbALOtH	Moderate
R_2uCVsIhbczMricX	Low
R_BG2zCrSq72cu5oJ	Low
R_PULxBT05Q47IOmR	Very Low
R_2TRUjQ7kYqmtIno	High
R_3saEuW4TTviBwnM	Moderate
R_usJmD25Zml44ef7	High
R_3qR5qywuGiliJsm	Low
R_3j27GQZJCc95DpV	Moderate
R_1GEpvVXQjiA6JFC	Very Low
R_1ZdEcLWKTBdeOgV	Low
R_24AdUWCIaQLvyCw	Very Low
R_2EggCQnejEtHW3a	Low
R_1kY9lz7ULI6kPb3	Very High
R_cCsCmJ2M9PGyP8R	Low
R_2BgSfuqikIO1v0a	Moderate
R_3MrPmrUA0iU0QKQ	Very Low
R_6hDIMFdjLBO9MOd	Low
R_2us0vBwhzkTkLir	Low
R_2QVQCBFhAeeJNZP	Low
R_3kjMa6nu9SI2Zxt	High
R_3rJuaVQjfJOizzO	Moderate
R_RDng1vjQz0Eut2x	Very Low
R_1dMSnCIjM6WCRyg	Low
R_1fkEC9uIzUqHPXF	Very Low
R_Ugcj0Hs9IX1A3WV	Very High
R_3jZ1VC6ejnLzmYa	Low
R_yDdfJsIfeCY3yRr	High
R_3Pp3aZ3NKVDVBPb	Very Low
R_2dSg2D5VTNB7RVY	Low
R_2QXVuTKkK53THL2	Low
R_xaBv50AriU5pPt7	Low
R_2SBjtXj9EjzI7Sn	Very Low
R_AmI4PaDaAItn0MF	Low
R_1EKvVZl7B5pr465	Very Low
R_28FWEYSvglYwL9F	Low
R_2EzS06GIwQj0lQn	Very Low
R_1FqSTPQf3FjsXjM	Very Low
R_T1kUZzmLbVaqMQp	Very Low
R_2s1ktoIv8TbR7va	Very Low
R_AGrmutGJFICE93z	Very Low
R_3szfXpJiLetcwwr	Low
R_WDKxkIWKqWPUbqV	Very Low
R_1pRrkSmdJGmTwHk	Low
R_31N0JcnckZmHXuH	Very High
R_T5iKcDfWBpqUOaJ	High
R_2U9jvXCLvYdgF4v	High
R_3CWadSWEbwUhhrs	Low
R_1Kp6yZnGSG4gEcP	Very Low
R_1ohTkjECbK7PyOm	Moderate
R_1OkPHcZJmExTE2S	Low
R_1mW0ThB9AoMJITt	Low
R_1jvKqTl2Ij19jke	Very Low
R_3JgdVz92UzIXsDf	Low
R_Ajw5jmJ8M7DobyF	Low
R_2zHk3lrt2viQjzY	Very Low
R_1i2NaZKfSEk0NAo	Very Low
R_2VQJaAMQ7x7b0Vc	Very Low
R_3pgaQNfj5tISZ0r	Low
R_1Kx6uWGscVutS3f	Low
R_vSpnniXC9QK5jj3	Very Low
R_22EynRiZfQKWOM7	Very Low
R_2cu4Vcaq8fXrGGw	Low
R_OvXfiWtDSp3WRdD	High
R_vCDw2trrlQggWnD	Moderate
R_1FnQHiAFu95KLEA	Low
R_2ay4ISLXNFlfXiA	Very Low
R_exlSjtrcVMPpPkl	Very Low
R_3lFbOeEkr2aGW1f	Moderate
R_2tM3kyffGsiC0lA	Very Low
R_24jZ54FYuSFoono	Low
R_2YKRrPH6SwOg1i9	Low
R_2aKnSakmSAQuXYg	Very High
R_6gLIVQF1l9WfwFH	Very Low
R_2WVyCoeuAAHCNin	Very Low
R_AFdMpLX9YukUDqV	Low
R_3Pq7FOazfc0hLft	Very Low
R_302hgWPu7XX10Ur	Moderate
R_3fAw2UE7epkUpRF	Low
R_3jeZvxEXWjMiPoU	Very Low
R_2awtub9gT0lm0Nq	Low
R_3s5IM3bGbNtc4XU	Very Low
R_73C5WonwTfcN8Wt	Moderate
R_29tEljEKBrsztMe	Low
R_1C8fB8CBFHe5SbN	Very Low
R_3fHPNDhuPCvBI5t	Very Low
R_vq2t8wRHyyhk10J	Very Low
R_SH3w71pRCZDwotH	Low
R_3fW2vvpojJLV3ZS	Low
R_1NCbBfTdX4Jcm6q	Low
R_1g6hYU8eXreCTSC	Low
R_ysSpq9fCGv43WI9	Moderate
R_vTAtDgS8N64qWDn	Moderate
R_3M0uW4vbFXE4kvx	Low
R_d9XxjKNfZKBlcv7	Moderate
R_3fAULoP2522oOyB	Very Low
R_1gpx3ioVAlVTipo	Low
R_3NDG6QfrooWuJHa	Very Low
R_0i9ZGQEYBdbMe1r	Very Low
R_2f97NKM11tYyR5P	Very Low
R_vktbxXQAdWGQUmJ	Moderate
R_3jfk9WUBB1C9rE0	Moderate
R_u7y4awKmx0P9uMx	Low
R_1ImjMmhDv5BB0tL	Low
R_1rwuSrjs7gQ6lcy	Moderate
R_ZJlgxWYq9ryKVJ7	Low
R_1OCdfz7knYYZ9MF	High
R_3Gs4GQj61sS2krY	Low
R_10H7jaE3hqPEC59	Low
R_UW9udpehJoHvjeV	Low
R_W2NaMKUGZou4QDv	Very Low
R_3R4baXz3l9QdAPM	Moderate
R_2Ve7LLcoPdCtYvA	Moderate
R_3DjBdzkuQENmiq9	Low
R_Y6sggRDaiYKcxP3	Moderate
R_3HnSEV00T3RGWzi	Low
R_bCncU5uFNDBQAdr	High
R_XLNMXHwqdiwAG7D	Moderate
R_2OGsptCGC66lVpU	Low
R_2yfNEamm9FvTD4O	Very Low
R_1myhPq5ghONho9x	Low
R_3KK0Lq3IYGIcJXW	Low
R_1f1ptLmJabcd2gt	Moderate
R_ByOF9nbo28ZJhG9	Moderate
R_1Lez5WNMDX1hRUJ	Very Low
R_DCZvMltMaiLK0zD	High
R_24OvWIXid68ghSc	Moderate
R_28GI4y8PGiLchXU	Low
R_QaFTHFdsxfpvsFb	Moderate
R_12ovEFWl7OzSTn7	Very Low
R_2WCr8uf7CKPkEXG	Low
R_vGhe9SFx67Tm8md	Low
R_1q8MrESM6Soe0YW	Low
R_1gwrKmk8l9dBdpR	Low
R_roMs84O8u4uODHb	Low
R_1163fpcUwH7iUdJ	Very High
R_1eru08S1SGWl5sm	Very Low
R_2pXHxkLf2ltxzDW	Moderate
R_27s7Eu21Kt5yIT0	Low
R_2ZKX9MFhEoJ5EsP	High
R_3EKfYkim9TNrorw	Low
R_bCNgup74QHnWVKp	Low
R_3kGGCsyUfakWVUl	Moderate
R_2VEKMPKkOYROq4e	Very Low
R_2RQVxhHSV8Q7y24	Moderate
R_3PHWLvpIcXFFKwW	Low
R_OlZPqe0dnO5809z	Moderate
R_2YrWWMvbQaoXT8U	Very Low
R_2v92FujMnTNUKtU	High
R_cOwnko1L9iV7hWV	Low
R_Tn1zCiJl48M49bP	Very Low
R_3lQFyqvkeqxEGrv	Low
R_cIpsWQTCtqyVUd3	Low
R_2E3SqExkJaw5KMM	Very Low
R_3n5YF1P3zkjw6mc	Very High
R_2tLFnGE5wJ0UxSs	Low
R_3iIFj59dgB5EXPO	Low
R_1IXK61gu891fM53	Very Low
R_3ObQwLaOYCfdTA5	Low
R_3PYR1LMIJhMu0dH	Moderate
R_3hyCgqMpettYA1x	Low
R_3lMjXKnwsOJomFW	Low
R_2U0jyqZlTh8B9Kk	Moderate
R_2wu8pRf0QuCSjtC	Low
R_2f9fC66h2IIZs1w	Moderate
R_9QE69SV6ZqszWjT	Low
R_31XxYTrGO7hkkqE	Very Low
R_06DkavezrMGKffj	Very Low
R_1FgF6lRVQZUd4dW	Moderate
R_1f8IXSbHxMdw6pC	Low
R_1NwBZ6uZyWVD4r1	Low
R_3NQyiNXjL1vSMQs	Low
R_uyxOp5bl3Heyi5P	Low
R_2QJpoM0DXM2EnBw	Low
R_pN6MH6N2QB5EWkN	Low
R_RwbZAYqdAdCWJpL	Low
R_1f7yeRvfde3epEo	Very Low
R_3qlI1oXGPLbeopZ	Very Low
R_SJNhx4IBeQ1eZu9	Low
R_2q9Ql7h5CKuPKN0	High
R_SHwFOwZ6VkkfpPr	Low
R_2QopNHjyyr0Mqmt	Moderate
R_u3udJvSlp9H0lYR	Very Low
R_UmqU7Ly1qrMBjHP	Low
R_3s6svosVBZhcLjp	Very Low
R_3EK0TrKycm0yB5b	Very Low
R_1lz69PsdTmTnVVj	Low
R_1C9qNC1dUt7ZiSE	High
R_1DzEEG1QzkdWLdl	Low
R_2B8trxy4O95LIjg	Low
R_1LBzXSxZUeQ0CZr	Moderate
R_28ZpvpJ7r1GU67H	High
R_3HtqACEHt1G9A41	Low
R_1g86ziif9LCszbc	Low
R_Asx9afieZL39PhL	Very Low
R_2eOxrEvCxEutKdg	Low
R_3rZAis4XlhhtCIC	High
R_3fPi4q2MtOopLwb	Very Low
R_2VqpVBYSI1pLkvH	Low
R_2b2hwMGWs1zscoE	Low
R_1jTgRy9bu3qIAQT	Very Low
R_1kTSdgoR3ATiihw	High
R_1lAjGmRwoW52vY9	Low
R_2S2MjnRg4NsWUiX	Low
R_T1L5jxO15Adwh0d	Very Low
R_zTomGWKEQc3Ne8h	Low
R_3PpfaE6kx9z6Gdn	Very Low
R_2tiiMYZYEfHjyYN	Very High
R_wQKtnSahMtTdwZP	Low
R_2pLz7xMojRnoxaR	High
R_3kwgl80bqny911T	Very Low
R_2BbuTGCx18uGQHF	Low
R_1OB3foIsQJfflaa	Low
R_6QYEgZeTJnngKZj	Very Low
R_3D85dU8d9bWZJPh	Low
R_2YeLYCNeAEarPbX	Very High
R_a9Gz8zHhb9u2pW1	Moderate
R_238HFUYOk87Upxk	Low
R_ZdxANIAeQf93MkN	Low
R_2XhZupfT3JtBBeo	Very Low
R_4YsljcjsHBXYfSx	Moderate
R_3gYOmNFTOaQXpvg	Moderate
R_3Pntu1ocvaXxAON	Very Low
R_1DTQz85ICC3MW9k	Very Low
R_DzXT4qsbkrvDVDP	Low
R_2uHSLuGwWn8PInP	Very Low
R_POu1cEcaePOzhkt	Very Low
R_1LifDMLl5WpopDp	Moderate
R_2rBzqM7U57tGlVk	Low
R_240mxsPP2K7qvrD	Low
R_1GWgjyjQjIpBIew	Low
R_AEvIrQSSmJP5wFb	Low
R_2dLSHG3yGKzKecQ	Very Low
R_2e295rrs3RwuezQ	Low
R_2dvcIJA7IFmsu14	Low
R_1UeEmajLZ4T4TwR	Moderate
R_2bN2CmBCvy0RUPJ	Low
R_2eQCIvKgmCxnQis	Very Low
R_1fd7fjBC84Nf1XI	Very Low
R_77kUEfBZkO5ZyOl	Low
R_cBI2DIvDQbW5cDD	Moderate
R_1K8Ralb7H385hcB	Low
R_2U5GjHtbKZYkmMX	Low
R_2thgLa4jntEMBiq	Moderate
R_3sv4uN3gphG6Pxv	Low
R_CZELpbmkR2H9uz7	Moderate
R_p0BJ8JCn92K9IaJ	Low
R_2rZ2DTpbcWFIEhG	Low
R_uyQjDVLfMF1DjEJ	Moderate
R_1mVqGcXzn9RTmbh	Low
R_ZJATnXkWyr4rKWl	Very Low
R_2bOijjUlRMWYs2t	Low
R_xf1mZKJUgYbss6J	Low
R_Ub6KK5sJLnRBQBj	Low
R_sbMzGYvocQNch7X	Low
R_SCp4SDJW7H7SgNz	Very Low
R_3MJUSLr2OcEQ11l	Low
R_2fg0p9dQFeyFqr6	Very Low
R_qJFDhrxLT2tTZ5v	Low
R_p3M2Ir2HhdW3gTD	Low
R_1rqy1rVzOKTinKa	Low
R_3IT6ZXx2MztRRGc	Very Low
R_cYFPvH5xI8jDLOh	Very Low
R_11gukLDI1B8MFre	Very Low
R_1d4iz3m2nqcDwm0	Low
R_e5USP07muEESOKB	Very Low
R_2rwGx3tHGSfKZmT	Moderate
R_2wMmMiikRn9F6qX	Very High
R_1Or7tDijbW5NQ1e	Very Low
R_23f99S8tbBeZcmr	Low
R_1kMINu0tVdNVrjQ	Low
R_1dzgIml0qeTOy3z	Low
R_2dT8e8Ru3SR801H	Low
R_1EZ15sr0mldmdJS	Low
R_2XbwfGL9OmGNpNx	Low
R_1oi2EOZ5uJxYlCL	Very Low
R_2xKa98jPFbLuzjs	Low
R_cuv0b8aL16OZV5f	Low
R_0rFImCR89hEJax3	Very Low
R_1gi7in2zvTaVHpj	Very Low
R_12tYv2Y5nec53EF	Very Low
R_Oa2svKJHachQHnP	Moderate
R_3iqkqyCtuHBhFsN	Low
R_2PnFe0m2znDlqh0	Low
R_2SeF9B5dnR5QZ1N	Low
R_2PchCq8UnKbYzmr	Low
R_Bybv9JqSnv0Hern	Very Low
R_2xWedLepVORUb2s	Very Low
R_1ditQMNo8bzXokM	Low
R_2E6UbxqHIZGHdcc	Low
R_1dLyeBiPezAXaav	Low
R_3Eo3YsFvO2vplXR	Low
R_2roxxflIoGavKkS	Moderate
R_XR4vuDYVTZUdDxf	Low
R_2Ejl6F6HzHMaous	Very Low
R_2coTxGpiZoEAjV9	Low
R_3gYp4TFBsLfhLvH	Low
R_1obR2FYKvFuxCjp	Very Low
R_3hhX5mXtAv6AIHA	Low
R_2uQIn0onTQYseK1	Low
R_2OTKjDgl6AvVwvh	Very Low
R_2U4pgn1GCmJuGaU	Low
R_3qlduMb6TmuzWVI	Very Low
R_2cth4XQgNMWuwGv	Moderate
R_27BdmSNc3E6ZlFf	Low
R_1o0l1vb0QVWOutj	Low
R_1K7lVatqDC1d3dz	Low
R_3EJQO3OBaZ6CZKY	Low
R_4Z9S8WkR6ezQJ7H	Very Low
R_1K26DA5M0mERwZH	Very Low
R_2yg8jYMAU5WqMfg	Very Low
R_DBlXUQLPEwonUSB	Low
R_3lMoowEYi5yWYMA	Low
R_3hngidIEckW7lKF	Low
R_1ogVGCkvyaVYrta	Very Low
R_1hLr7MYgQpK05AT	Moderate
R_1IhH5uWbd7fWbq1	Very Low
R_3dGuyqX1cMJFz7i	Low
R_3foClSs4q55ssEp	Low
R_10uWnIrva7R5dgS	Low
R_7PVRV8S0OqzQTnz	Low
R_1nZmLTBp6dPXqgm	Low
R_Cfzi2YLDaPWFnRT	Very Low
R_3KGCgGY4I8KXp24	Low
R_2dlHcPXBYfhftFW	Low
R_wRyMeFjM4H8I52h	Very Low
R_3PHKJQqRQle1gb0	Very Low
R_3hgej8gmajD0d9j	Low
R_2bQpSx7HPHcLyoX	Moderate
R_6hV0lkImqJ9lbCV	Low
R_3qvvLPHkBxw52vg	Very Low
R_2fiypF20DbX0IU0	Low
R_2duJO8zk4AgeXgg	Low
R_1qWnEsHwB47T5gC	Low
R_3FPW5UUfKKmHIzM	Low
R_2zjVTdbw0kClOqk	Low
R_T6OrGQxMHJekFCF	Low
R_1CKGCablLVpWzNT	Low
R_2yfG7EjmzWsyWxx	Low
R_1LNc6THhR7JwDJ5	Low
R_2WGQonc2eGviLKq	Low
R_3fuztQ0HcuQmyVK	Low
R_qJHLDJdVTdBowI9	Very Low
R_3MxuXev3SJ36Py0	Very Low
R_1rH1NztEvUbUmp0	Very Low
R_2WJC3PKuf5TvxjC	Very Low
R_Xp37cWl6slWgFWN	Moderate
R_22ms4BKg4b2PqVr	Low
R_x8Z2fY3NuG06l69	Low
R_YPHfNIaeRchw0PT	Low
R_1HemYlCts4kwav2	Low
R_2EBoQ5pteGRidTo	Low
R_0ibVXbAiuoWoMWR	Very Low
R_3EKM0va9ntRVGxm	Low
R_4Jx85V7Q7juO0rD	Very Low
R_vOfSDKH9m5bsxQl	Low
