response_id	outcome	outcome_no	outcome_sep	maximum_response_one_outcome	type	group_outcome	code_outcome
R_06DkavezrMGKffj	time loss	1	time loss	yes	recurring	time loss	time loss
R_0i9ZGQEYBdbMe1r	time loss	1	time loss	yes	recurring	time loss	time loss
R_0i9ZGQEYBdbMe1r	time loss	1	time loss	yes	serious	time loss	time loss
R_0ibVXbAiuoWoMWR	financial loss, time loss, and frustration	1	financial loss	no	recurring	financial lost	financial loss
R_0ibVXbAiuoWoMWR	financial loss, time loss, and frustration	2	time loss	no	recurring	time loss	time loss
R_0ibVXbAiuoWoMWR	financial loss, time loss, and frustration	3	frustration	no	recurring	frustration	frustration
R_0Jku2nGizREQbhn	time loss	1	time loss	yes	recurring	time loss	time loss
R_0Jku2nGizREQbhn	frustration	1	frustration	yes	serious	frustration	frustration
R_0rFImCR89hEJax3	frustration	1	frustration	yes	recurring	frustration	frustration
R_0rFImCR89hEJax3	frustration	1	frustration	yes	serious	frustration	frustration
R_10H7jaE3hqPEC59	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_10uWnIrva7R5dgS	time loss	1	time loss	yes	recurring	time loss	time loss
R_10uWnIrva7R5dgS	time loss, frustration	1	time loss	no	serious	time loss	time loss
R_10uWnIrva7R5dgS	time loss, frustration	2	frustration	no	serious	frustration	frustration
R_1163fpcUwH7iUdJ	time loss	1	time loss	yes	recurring	time loss	time loss
R_1163fpcUwH7iUdJ	time loss	1	time loss	yes	serious	time loss	time loss
R_11gukLDI1B8MFre	frustration	1	frustration	yes	serious	frustration	frustration
R_12kZ5E4TIFs2wbK	frustration	1	frustration	yes	recurring	frustration	frustration
R_12kZ5E4TIFs2wbK	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_12tYv2Y5nec53EF	time loss	1	time loss	yes	recurring	time loss	time loss
R_12tYv2Y5nec53EF	time loss	1	time loss	yes	serious	time loss	time loss
R_1C7oJP4CkRa3cdP	financial loss	1	financial loss	yes	recurring	financial lost	financial loss
R_1C7oJP4CkRa3cdP	financial loss	1	financial loss	yes	serious	financial lost	financial loss
R_1C8fB8CBFHe5SbN	time loss	1	time loss	yes	recurring	time loss	time loss
R_1C9qNC1dUt7ZiSE	frustration	1	frustration	yes	recurring	frustration	frustration
R_1CKGCablLVpWzNT	INABILITY TO COMPLETE ANALYSIS OF LONGITUDINAL DATA	1	INABILITY TO COMPLETE ANALYSIS OF LONGITUDINAL DATA	yes	recurring	potential or real project failure or setback	inability to complete the analysis
R_1cZWGJtCZKD1ew4	duplication of effort - potential for erroneous conclusions	1	duplication of effort	no	recurring	time loss	double effort
R_1cZWGJtCZKD1ew4	duplication of effort	1	duplication of effort	yes	serious	time loss	double effort
R_1cZWGJtCZKD1ew4	duplication of effort - potential for erroneous conclusions	2	potential for erroneous conclusions	no	recurring	erroneous conclusion	erroneous conclusion
R_1d4iz3m2nqcDwm0	time loss	1	time loss	yes	recurring	time loss	time loss
R_1d4iz3m2nqcDwm0	time loss	1	time loss	yes	serious	time loss	time loss
R_1ditQMNo8bzXokM	time loss	1	time loss	yes	recurring	time loss	time loss
R_1ditQMNo8bzXokM	time loss	1	time loss	yes	serious	time loss	time loss
R_1dLyeBiPezAXaav	time loss	1	time loss	yes	recurring	time loss	time loss
R_1dLyeBiPezAXaav	time loss	1	time loss	yes	serious	time loss	time loss
R_1dMSnCIjM6WCRyg	time loss	1	time loss	yes	recurring	time loss	time loss
R_1dMSnCIjM6WCRyg	time loss	1	time loss	yes	serious	time loss	time loss
R_1DTQz85ICC3MW9k	frustration	1	frustration	yes	recurring	frustration	frustration
R_1DTQz85ICC3MW9k	frustration	1	frustration	yes	serious	frustration	frustration
R_1dyHBENaRUWZjBd	financial loss	1	financial loss	yes	recurring	financial lost	financial loss
R_1dyHBENaRUWZjBd	time loss	1	time loss	yes	serious	time loss	time loss
R_1DzEEG1QzkdWLdl	time loss	1	time loss	yes	recurring	time loss	time loss
R_1DzEEG1QzkdWLdl	time loss	1	time loss	yes	serious	time loss	time loss
R_1EibulGREp2Awdg	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1EibulGREp2Awdg	All of the above	1	financial loss	no	serious	financial lost	financial loss
R_1EibulGREp2Awdg	All of the above	2	erroneous conclusion	no	serious	erroneous conclusion	erroneous conclusion
R_1EibulGREp2Awdg	All of the above	3	time loss	no	serious	time loss	time loss
R_1EibulGREp2Awdg	All of the above	4	frustration	no	serious	frustration	frustration
R_1EKvVZl7B5pr465	time loss	1	time loss	yes	recurring	time loss	time loss
R_1EKvVZl7B5pr465	time loss	1	time loss	yes	serious	time loss	time loss
R_1eru08S1SGWl5sm	time loss	1	time loss	yes	recurring	time loss	time loss
R_1eru08S1SGWl5sm	time loss	1	time loss	yes	serious	time loss	time loss
R_1EZ15sr0mldmdJS	frustration	1	frustration	yes	recurring	frustration	frustration
R_1EZ15sr0mldmdJS	time loss	1	time loss	yes	serious	time loss	time loss
R_1f1ptLmJabcd2gt	time loss	1	time loss	yes	recurring	time loss	time loss
R_1f1ptLmJabcd2gt	time loss	1	time loss	yes	serious	time loss	time loss
R_1fd7fjBC84Nf1XI	time loss	1	time loss	yes	recurring	time loss	time loss
R_1fd7fjBC84Nf1XI	time loss	1	time loss	yes	serious	time loss	time loss
R_1FgF6lRVQZUd4dW	frustration	1	frustration	yes	serious	frustration	frustration
R_1fkEC9uIzUqHPXF	time loss	1	time loss	yes	recurring	time loss	time loss
R_1fkEC9uIzUqHPXF	frustration	1	frustration	yes	serious	frustration	frustration
R_1FnQHiAFu95KLEA	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1FqSTPQf3FjsXjM	time loss	1	time loss	yes	recurring	time loss	time loss
R_1Fsku9bfzuOnHlW	Both time lost and Lord of frustration	1	time lost	no	recurring	time loss	time loss
R_1Fsku9bfzuOnHlW	The project was scrapped	1	The project was scrapped	yes	serious	potential or real project failure or setback	project failure
R_1Fsku9bfzuOnHlW	Both time lost and Lord of frustration	2	Lord of frustration	no	recurring	frustration	frustration
R_1FwvnH84InncNXX	I would say that all of the above are applicable to a certain extent.	1	financial loss	no	recurring	financial lost	financial loss
R_1FwvnH84InncNXX	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1FwvnH84InncNXX	I would say that all of the above are applicable to a certain extent.	2	errorneous conclusion	no	recurring	erroneous conclusion	erroneous conclusion
R_1FwvnH84InncNXX	I would say that all of the above are applicable to a certain extent.	3	time loss	no	recurring	time loss	time loss
R_1FwvnH84InncNXX	I would say that all of the above are applicable to a certain extent.	4	frustration	no	recurring	frustration	frustration
R_1FzFMxxfXX2SLGw	time loss	1	time loss	yes	recurring	time loss	time loss
R_1FzFMxxfXX2SLGw	time loss	1	time loss	yes	serious	time loss	time loss
R_1g0dAm4HvOZLwXc	financial loss	1	financial loss	yes	recurring	financial lost	financial loss
R_1g6hYU8eXreCTSC	time loss	1	time loss	yes	recurring	time loss	time loss
R_1g6hYU8eXreCTSC	frustration	1	frustration	yes	serious	frustration	frustration
R_1g86ziif9LCszbc	frustration	1	frustration	yes	recurring	frustration	frustration
R_1g86ziif9LCszbc	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1GEpvVXQjiA6JFC	frustration	1	frustration	yes	recurring	frustration	frustration
R_1gpx3ioVAlVTipo	time loss	1	time loss	yes	recurring	time loss	time loss
R_1gpx3ioVAlVTipo	project failure	1	project failure	yes	serious	potential or real project failure or setback	project failure
R_1GWgjyjQjIpBIew	frustration	1	frustration	yes	recurring	frustration	frustration
R_1GWgjyjQjIpBIew	time loss	1	time loss	yes	serious	time loss	time loss
R_1gwrKmk8l9dBdpR	time loss	1	time loss	yes	recurring	time loss	time loss
R_1gwrKmk8l9dBdpR	time loss	1	time loss	yes	serious	time loss	time loss
R_1HemYlCts4kwav2	time loss	1	time loss	yes	recurring	time loss	time loss
R_1HemYlCts4kwav2	smaller sample size	1	smaller sample size	yes	serious	potential or real project failure or setback	participant loss
R_1hLr7MYgQpK05AT	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1hLr7MYgQpK05AT	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1IH7qhVEGwzF6pZ	time loss	1	time loss	yes	recurring	time loss	time loss
R_1IH7qhVEGwzF6pZ	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1IlTZYBSAO0Dcuy	Time loss and frustration when returning to data set a few years later.	1	Time loss when returning to data set a few years later.	no	recurring	time loss	time loss
R_1IlTZYBSAO0Dcuy	Could not use the data collected, and needed to re-run the study (financial loss, time loss, frustration)	1	Could not use the data collected	no	serious	potential or real project failure or setback	unusable data
R_1IlTZYBSAO0Dcuy	Time loss and frustration when returning to data set a few years later.	2	frustration when returning to data set a few years later.	no	recurring	frustration	frustration
R_1IlTZYBSAO0Dcuy	Could not use the data collected, and needed to re-run the study (financial loss, time loss, frustration)	2	needed to re-run the study	no	serious	potential or real project failure or setback	had to rerun the study
R_1IlTZYBSAO0Dcuy	Could not use the data collected, and needed to re-run the study (financial loss, time loss, frustration)	3	financial loss	no	serious	financial lost	financial loss
R_1IlTZYBSAO0Dcuy	Could not use the data collected, and needed to re-run the study (financial loss, time loss, frustration)	4	time loss	no	serious	time loss	time loss
R_1IlTZYBSAO0Dcuy	Could not use the data collected, and needed to re-run the study (financial loss, time loss, frustration)	5	frustration	no	serious	frustration	frustration
R_1ImjMmhDv5BB0tL	frustration	1	frustration	yes	recurring	frustration	frustration
R_1IWT6B2ocVRIEy7	frustration	1	frustration	yes	recurring	frustration	frustration
R_1IXK61gu891fM53	time loss	1	time loss	yes	recurring	time loss	time loss
R_1jTgRy9bu3qIAQT	frustration	1	frustration	yes	recurring	frustration	frustration
R_1jTgRy9bu3qIAQT	time loss	1	time loss	yes	serious	time loss	time loss
R_1jvKqTl2Ij19jke	time loss	1	time loss	yes	recurring	time loss	time loss
R_1K26DA5M0mERwZH	time loss	1	time loss	yes	recurring	time loss	time loss
R_1K26DA5M0mERwZH	time loss	1	time loss	yes	serious	time loss	time loss
R_1K7lVatqDC1d3dz	frustration	1	frustration	yes	recurring	frustration	frustration
R_1K7lVatqDC1d3dz	financial loss	1	financial loss	yes	serious	financial lost	financial loss
R_1K8Ralb7H385hcB	We jeopardized participants' data (psycological background, personal information, health information, etc.)	1	We jeopardized participants' data (psycological background, personal information, health information, etc.)	yes	recurring	potential legal charges	sharing participants personal information
R_1kMINu0tVdNVrjQ	frustration	1	frustration	yes	recurring	frustration	frustration
R_1kMINu0tVdNVrjQ	frustration	1	frustration	yes	serious	frustration	frustration
R_1KoS03TB4Dmwx8K	having an Erratum you hope people will consult.	1	having an Erratum you hope people will consult.	yes	recurring	frustration	writing an erratum
R_1Kp6yZnGSG4gEcP	time loss	1	time loss	yes	recurring	time loss	time loss
R_1Kp6yZnGSG4gEcP	time loss	1	time loss	yes	serious	time loss	time loss
R_1kTbPJmOD0m8h6r	time loss	1	time loss	yes	recurring	time loss	time loss
R_1kTbPJmOD0m8h6r	frustration	1	frustration	yes	serious	frustration	frustration
R_1kTSdgoR3ATiihw	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1kTSdgoR3ATiihw	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1Kx6uWGscVutS3f	Time loss and frustration	1	Time loss	no	recurring	time loss	time loss
R_1Kx6uWGscVutS3f	Time loss and frustration	2	frustration	no	recurring	frustration	frustration
R_1kY9lz7ULI6kPb3	time loss	1	time loss	yes	recurring	time loss	time loss
R_1kY9lz7ULI6kPb3	time loss	1	time loss	yes	serious	time loss	time loss
R_1lAjGmRwoW52vY9	time loss	1	time loss	yes	recurring	time loss	time loss
R_1lAjGmRwoW52vY9	frustration	1	frustration	yes	serious	frustration	frustration
R_1lB26n6FmxVjcjF	frustration	1	frustration	yes	serious	frustration	frustration
R_1LbdeE1TkgHwlf0	time loss	1	time loss	yes	recurring	time loss	time loss
R_1LbdeE1TkgHwlf0	time loss	1	time loss	yes	serious	time loss	time loss
R_1LBzXSxZUeQ0CZr	time loss	1	time loss	yes	recurring	time loss	time loss
R_1LBzXSxZUeQ0CZr	time loss	1	time loss	yes	serious	time loss	time loss
R_1Lez5WNMDX1hRUJ	time loss	1	time loss	yes	recurring	time loss	time loss
R_1lhqYV1QwEPPpZy	frustration	1	frustration	yes	recurring	frustration	frustration
R_1lhqYV1QwEPPpZy	time loss	1	time loss	yes	serious	time loss	time loss
R_1LifDMLl5WpopDp	frustration	1	frustration	yes	recurring	frustration	frustration
R_1LifDMLl5WpopDp	frustration	1	frustration	yes	serious	frustration	frustration
R_1LNc6THhR7JwDJ5	frustration	1	frustration	yes	recurring	frustration	frustration
R_1LNc6THhR7JwDJ5	frustration	1	frustration	yes	serious	frustration	frustration
R_1LXOUF7PqQkhz6o	time loss	1	time loss	yes	recurring	time loss	time loss
R_1LXOUF7PqQkhz6o	time loss	1	time loss	yes	serious	time loss	time loss
R_1lz69PsdTmTnVVj	time loss	1	time loss	yes	recurring	time loss	time loss
R_1lz69PsdTmTnVVj	Loss of participants because information could not be matched across years	1	Loss of participants because information could not be matched across years	yes	serious	potential or real project failure or setback	participant loss
R_1mKI2PUxRHLULTJ	time loss	1	time loss	yes	recurring	time loss	time loss
R_1mKI2PUxRHLULTJ	time loss	1	time loss	yes	serious	time loss	time loss
R_1MQWERjeI1GSADq	time loss	1	time loss	yes	recurring	time loss	time loss
R_1MQWERjeI1GSADq	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1mVqGcXzn9RTmbh	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1mW0ThB9AoMJITt	time loss	1	time loss	yes	recurring	time loss	time loss
R_1mW0ThB9AoMJITt	time loss	1	time loss	yes	serious	time loss	time loss
R_1myhPq5ghONho9x	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1myhPq5ghONho9x	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1NCbBfTdX4Jcm6q	frustration	1	frustration	yes	recurring	frustration	frustration
R_1NCbBfTdX4Jcm6q	frustration	1	frustration	yes	serious	frustration	frustration
R_1NDGa4iJhjM1zX9	time loss	1	time loss	yes	recurring	time loss	time loss
R_1NDGa4iJhjM1zX9	time loss	1	time loss	yes	serious	time loss	time loss
R_1NwBZ6uZyWVD4r1	time loss	1	time loss	yes	recurring	time loss	time loss
R_1nZmLTBp6dPXqgm	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1nZmLTBp6dPXqgm	frustration	1	frustration	yes	serious	frustration	frustration
R_1o0l1vb0QVWOutj	time loss	1	time loss	yes	recurring	time loss	time loss
R_1o0l1vb0QVWOutj	time loss	1	time loss	yes	serious	time loss	time loss
R_1o7utbGjr0CiW5p	time loss	1	time loss	yes	recurring	time loss	time loss
R_1o7utbGjr0CiW5p	frustration	1	frustration	yes	serious	frustration	frustration
R_1OB3foIsQJfflaa	time loss	1	time loss	yes	recurring	time loss	time loss
R_1OB3foIsQJfflaa	Greater attrition than expected and potential impact on conclusions	1	Greater attrition than expected	no	serious	potential or real project failure or setback	participant loss
R_1OB3foIsQJfflaa	Greater attrition than expected and potential impact on conclusions	2	potential impact on conclusions	no	serious	erroneous conclusion	erroneous conclusion
R_1obR2FYKvFuxCjp	frustration	1	frustration	yes	serious	frustration	frustration
R_1OCdfz7knYYZ9MF	time loss	1	time loss	yes	recurring	time loss	time loss
R_1OCdfz7knYYZ9MF	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1ODLj4FHdxhK3G1	All except of second	1	financial loss	no	recurring	financial lost	financial loss
R_1ODLj4FHdxhK3G1	All except of second	1	financial loss	no	serious	financial lost	financial loss
R_1ODLj4FHdxhK3G1	All except of second	2	time loss	no	recurring	time loss	time loss
R_1ODLj4FHdxhK3G1	All except of second	2	time loss	no	serious	time loss	time loss
R_1ODLj4FHdxhK3G1	All except of second	3	frustration	no	recurring	frustration	frustration
R_1ODLj4FHdxhK3G1	All except of second	3	frustration	no	serious	frustration	frustration
R_1ohTkjECbK7PyOm	frustration	1	frustration	yes	recurring	frustration	frustration
R_1ohTkjECbK7PyOm	time loss	1	time loss	yes	serious	time loss	time loss
R_1oi2EOZ5uJxYlCL	time loss	1	time loss	yes	recurring	time loss	time loss
R_1ojdoHkyRAEhaO9	time loss	1	time loss	yes	recurring	time loss	time loss
R_1ojdoHkyRAEhaO9	time loss	1	time loss	yes	serious	time loss	time loss
R_1OkPHcZJmExTE2S	erroneous conclusion	1	erroneous conclusion	yes	recurring	erroneous conclusion	erroneous conclusion
R_1OkPHcZJmExTE2S	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1Or7tDijbW5NQ1e	time loss	1	time loss	yes	recurring	time loss	time loss
R_1Or7tDijbW5NQ1e	time loss	1	time loss	yes	serious	time loss	time loss
R_1pRrkSmdJGmTwHk	time loss	1	time loss	yes	recurring	time loss	time loss
R_1pRrkSmdJGmTwHk	data loss/unable to share with other researchers years later	1	data loss	no	serious	potential or real project failure or setback	data loss
R_1pRrkSmdJGmTwHk	data loss/unable to share with other researchers years later	2	unable to share with other researchers years later	no	serious	loss of scientific value	unable to share data
R_1PYqrwTWH43MQ4b	Time loss and frustration (survey wouldn’t allow me to select both)	1	Time loss (survey wouldn’t allow me to select both)	no	recurring	time loss	time loss
R_1PYqrwTWH43MQ4b	Frustration, time loss, having an editor look down on us for changing conclusions after an R&R	1	Frustration	no	serious	frustration	frustration
R_1PYqrwTWH43MQ4b	Time loss and frustration (survey wouldn’t allow me to select both)	2	frustration	no	recurring	frustration	frustration
R_1PYqrwTWH43MQ4b	Frustration, time loss, having an editor look down on us for changing conclusions after an R&R	2	time loss	no	serious	time loss	time loss
R_1PYqrwTWH43MQ4b	Frustration, time loss, having an editor look down on us for changing conclusions after an R&R	3	having an editor look down on us for changing conclusions after an R&R	no	serious	frustration	embarrassment
R_1q8MrESM6Soe0YW	frustration	1	frustration	yes	recurring	frustration	frustration
R_1q8MrESM6Soe0YW	frustration	1	frustration	yes	serious	frustration	frustration
R_1qgGU0J3OX0g6t9	time loss	1	time loss	yes	recurring	time loss	time loss
R_1qgGU0J3OX0g6t9	time loss	1	time loss	yes	serious	time loss	time loss
R_1QJxQZXirFtXONG	time loss	1	time loss	yes	recurring	time loss	time loss
R_1QJxQZXirFtXONG	frustration	1	frustration	yes	serious	frustration	frustration
R_1QLOiVySy2bKLTZ	"I want to select all options but ""financial"". If you want most important outcome then, ""erroneous conclusion"""	1	erroneous conclusion	no	recurring	erroneous conclusion	erroneous conclusion
R_1QLOiVySy2bKLTZ	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1QLOiVySy2bKLTZ	"I want to select all options but ""financial"". If you want most important outcome then, ""erroneous conclusion"""	2	time loss	no	recurring	time loss	time loss
R_1QLOiVySy2bKLTZ	"I want to select all options but ""financial"". If you want most important outcome then, ""erroneous conclusion"""	3	frustration	no	recurring	frustration	frustration
R_1qWnEsHwB47T5gC	frustration	1	frustration	yes	recurring	frustration	frustration
R_1qWnEsHwB47T5gC	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_1rH1NztEvUbUmp0	time loss	1	time loss	yes	recurring	time loss	time loss
R_1rH1NztEvUbUmp0	time loss	1	time loss	yes	serious	time loss	time loss
R_1rqy1rVzOKTinKa	frustration	1	frustration	yes	recurring	frustration	frustration
R_1rqy1rVzOKTinKa	frustration	1	frustration	yes	serious	frustration	frustration
R_1rrxPxsFGkflPpx	little re-use	1	little re-use	yes	recurring	loss of scientific value	little re-use
R_1rwuSrjs7gQ6lcy	time loss	1	time loss	yes	recurring	time loss	time loss
R_1rwuSrjs7gQ6lcy	time loss	1	time loss	yes	serious	time loss	time loss
R_1UeEmajLZ4T4TwR	financial loss	1	financial loss	yes	recurring	financial lost	financial loss
R_1UeEmajLZ4T4TwR	financial loss	1	financial loss	yes	serious	financial lost	financial loss
R_1ZdEcLWKTBdeOgV	time loss	1	time loss	yes	recurring	time loss	time loss
R_1ZdEcLWKTBdeOgV	erroneous conclusion	1	erroneous conclusion	yes	serious	erroneous conclusion	erroneous conclusion
R_202sfhbxfEwDsEV	time loss	1	time loss	yes	recurring	time loss	time loss
R_202sfhbxfEwDsEV	time loss	1	time loss	yes	serious	time loss	time loss
R_22EynRiZfQKWOM7	loss of data that would have been a useful variable for analysis	1	loss of data that would have been a useful variable for analysis	yes	recurring	potential or real project failure or setback	data loss
